"Source:","D:\UCT\OneDrive - University of Cape Town\EEE4022S\PCB\draft1\radarV2\radarV2.kicad_sch"
"Date:","2024/09/08 10:27:29"
"Tool:","Eeschema (7.0.0)"
"Generator:","D:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","6.8n","Device:C","","~"
"","","C2","22p","Device:C","","~"
"","","C3","6.8n","Device:C","","~"
"","","C4","22p","Device:C","","~"
"","","C5","6.8n","Device:C","","~"
"","","C6","22p","Device:C","","~"
"","","C7","6.8n","Device:C","","~"
"","","C8","22p","Device:C","","~"
"","","C9","10u","Device:C","","~"
"","","C10","10u","Device:C","","~"
"","","C11","2.2n","Device:C","","~"
"","","C12","2.2n","Device:C","","~"
"","","J1","Conn_01x03_Socket","Connector:Conn_01x03_Socket","","~"
"","","J2","Conn_01x03_Socket","Connector:Conn_01x03_Socket","","~"
"","","J3","Conn_01x02_Socket","Connector:Conn_01x02_Socket","","~"
"","","J4","Conn_01x05_Socket","Connector:Conn_01x05_Socket","","~"
"","","J5","Conn_01x03_Socket","Connector:Conn_01x03_Socket","","~"
"","","J6","Conn_01x03_Socket","Connector:Conn_01x03_Socket","","~"
"","","J7","Conn_01x03_Socket","Connector:Conn_01x03_Socket","","~"
"","","J9","Conn_01x03_Socket","Connector:Conn_01x03_Socket","","~"
"","","J10","Conn_02x04_Odd_Even","Connector_Generic:Conn_02x04_Odd_Even","","~"
"","","R1","10k","Device:R","","~"
"","","R2","10k","Device:R","","~"
"","","R3","1.2k","Device:R","","~"
"","","R4","120k","Device:R","","~"
"","","R5","120k","Device:R","","~"
"","","R6","1.2k","Device:R","","~"
"","","R7","10k","Device:R","","~"
"","","R8","10k","Device:R","","~"
"","","R9","1.2k","Device:R","","~"
"","","R10","10k","Device:R","","~"
"","","R11","10k","Device:R","","~"
"","","R12","120k","Device:R","","~"
"","","R13","10k","Device:R","","~"
"","","R14","10k","Device:R","","~"
"","","R15","1.2k","Device:R","","~"
"","","R16","120k","Device:R","","~"
"","","R17","10k","Device:R","","~"
"","","R18","10k","Device:R","","~"
"","","R19","10","Device:R","","~"
"","","R21","1k","Device:R","","~"
"","","R22","1.8k","Device:R","","~"
"","","R23","20k","Device:R","","~"
"","","R24","11k","Device:R","","~"
"","","R25","3k","Device:R","","~"
"","","R26","1.2k","Device:R","","~"
"","","R27","1.2k","Device:R","","~"
"","","R28","1.8k","Device:R","","~"
"","","R29","240","Device:R","","~"
"","","R30","390","Device:R","","~"
"","","U1","MC33079","Amplifier_Operational:MC33079","","https://www.onsemi.com/pub/Collateral/MC33078-D.PDF"
"","","U2","MC33079","Amplifier_Operational:MC33079","MC33079P:DIL14","https://www.onsemi.com/pub/Collateral/MC33078-D.PDF"
"","","U3","TL082","Amplifier_Operational:TL082","","http://www.ti.com/lit/ds/symlink/tl081.pdf"
"","","U4","TL082","Amplifier_Operational:TL082","","http://www.ti.com/lit/ds/symlink/tl081.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","4","C1, C3, C5, C7","6.8n","Device:C","","~"
"2","4","C2, C4, C6, C8","22p","Device:C","","~"
"3","2","C9, C10","10u","Device:C","","~"
"4","2","C11, C12","2.2n","Device:C","","~"
"5","6","J1, J2, J5, J6, J7, J9","Conn_01x03_Socket","Connector:Conn_01x03_Socket","","~"
"6","1","J3","Conn_01x02_Socket","Connector:Conn_01x02_Socket","","~"
"7","1","J4","Conn_01x05_Socket","Connector:Conn_01x05_Socket","","~"
"8","1","J10","Conn_02x04_Odd_Even","Connector_Generic:Conn_02x04_Odd_Even","","~"
"9","10","R1, R2, R7, R8, R10, R11, R13, R14, R17, R18","10k","Device:R","","~"
"10","6","R3, R6, R9, R15, R26, R27","1.2k","Device:R","","~"
"11","4","R4, R5, R12, R16","120k","Device:R","","~"
"12","1","R19","10","Device:R","","~"
"13","1","R21","1k","Device:R","","~"
"14","2","R22, R28","1.8k","Device:R","","~"
"15","1","R23","20k","Device:R","","~"
"16","1","R24","11k","Device:R","","~"
"17","1","R25","3k","Device:R","","~"
"18","1","R29","240","Device:R","","~"
"19","1","R30","390","Device:R","","~"
"20","1","U1","MC33079","Amplifier_Operational:MC33079","","https://www.onsemi.com/pub/Collateral/MC33078-D.PDF"
"21","1","U2","MC33079","Amplifier_Operational:MC33079","MC33079P:DIL14","https://www.onsemi.com/pub/Collateral/MC33078-D.PDF"
"22","2","U3, U4","TL082","Amplifier_Operational:TL082","","http://www.ti.com/lit/ds/symlink/tl081.pdf"
