Designator,Mid X,Mid Y,Rotation,Layer
C1,153.51,-75.5,0.0,top
C10,159.62,-114.35,270.0,top
C11,163.52,-115.75,270.0,top
C12,163.42,-107.3,90.0,top
C13,166.21,-84.5,180.0,top
C14,134.71,-83.4,180.0,top
C15,177.0,-100.05,90.0,top
C16,129.8,-113.2,0.0,top
C2,157.01,-71.0,0.0,top
C3,170.6,-67.6,0.0,top
C4,174.01,-76.6,90.0,top
C5,122.21,-84.2,90.0,top
C6,124.31,-72.0,0.0,top
C7,142.2975,-66.1,0.0,top
C8,141.61,-75.8,90.0,top
C9,148.62,-100.25,0.0,top
R1,159.11,-79.15,270.0,top
R10,123.31,-78.3,270.0,top
R11,127.01,-78.3,90.0,top
R12,124.41,-69.0,180.0,top
R13,143.01,-80.9,180.0,top
R14,143.01,-84.0,180.0,top
R15,142.2975,-69.6,0.0,top
R16,144.21,-75.8,270.0,top
R17,167.22,-89.25,90.0,top
R18,167.22,-93.25,0.0,top
R19,171.02,-92.55,270.0,top
R2,155.26,-79.15,90.0,top
R21,175.0075,-93.25,0.0,top
R22,163.175,-112.7,180.0,top
R23,159.62,-106.55,0.0,top
R24,159.62,-110.35,270.0,top
R25,168.7875,-108.0,180.0,top
R26,173.7875,-108.0,0.0,top
R27,173.7875,-111.0,180.0,top
R28,164.175,-110.55,0.0,top
R29,140.71,-105.8,0.0,top
R3,158.11,-75.5,180.0,top
R30,145.82,-105.82,0.0,top
R4,177.0,-76.5,270.0,top
R5,157.01,-68.0,180.0,top
R6,174.9125,-69.5,0.0,top
R7,174.71,-80.5,180.0,top
R8,174.66,-83.4,180.0,top
R9,124.31,-74.5,180.0,top
