Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C7",603,4,6.8n,C1631
"C10, C9",805,2,10u,C15850
"C11, C12, C6",805,3,2.2n,C28260
"C13, C14, C15, C16",805,4,0.1u,C28233
"C2, C4",805,2,22p,C1804
C8,805,1,2.2p,C1801
"R1, R10, R11, R13, R14, R17, R18, R2, R7, R8",805,10,10k,C17414
"R12, R15, R26, R27, R3, R6, R9",805,7,1.2k,C17379
R16,603,1,1200k,C137774
R19,805,1,10,C17415
R21,805,1,1k,C17513
"R22, R28",603,2,1.8k,C4177
R23,805,1,20k,C4328
R24,805,1,11k,C103930
R25,805,1,3k,C17661
R29,805,1,240,C185292
R30,805,1,390,C17655
"R4, R5",603,2,120k,C25808
"TP1-Rx1Amp1, TP2RxOut1, TP3-Rx2Amp1, TP4-RxOut2, TP5-RxIn1, TP6-RxIn2, TP7-TxIn1, TP8-TxAmp1, TP9-TxOut1",TestPoint_Pad_D1.0mm,9,TestPoint,
