Designator,Footprint,Quantity,Value,LCSC Part #,,LCSC Part #,Component,Quantity,,Unit Price (ZAR),,Total Price (ZAR),,,,Component,Quantity,Unit Price (ZAR),,Total Price (ZAR)
"C1, C3, C5, C7",603,4,6.8n,C1631,,C1631,6.8nF capacitor,4,,0.0468,,0.1872,,,,6.8nF capacitor,2,0.0468,,0.0936
"C10, C9",805,2,10u,C15850,,C15850,10uF capacitor,2,,0.1764,,0.3528,,,,10uF capacitor,3,0.1764,,0.5292
"C11, C12, C6",805,3,2.2n,C28260,,C28260,2.2nF capacitor,3,,0.4986,,1.4958,,,,2.2nF capacitor,2,0.4986,,0.9972
"C13, C14, C15, C16",805,4,0.1u,C28233,,C28233,0.1uF capacitor,4,,0.1134,,0.4536,,,,22pF capacitor,1,0.1512,,0.1512
"C2, C4",805,2,22p,C1804,,C1804,22pF capacitor,2,,0.1512,,0.3024,,,,10k resistor,7,0.0288,,0.2016
C8,805,1,2.2p,C1801,,C1801,2.2pF capacitor,1,,0.0846,,0.0846,,,,1.2k resistor,5,0.0306,,0.153
"R1, R10, R11, R13, R14, R17, R18, R2, R7, R8",805,10,10k,C17414,,C17414,10k resistor,10,,0.0288,,0.288,,,,10 resistor,1,0.027,,0.027
"R12, R15, R26, R27, R3, R6, R9",805,7,1.2k,C17379,,C17379,1.2k resistor,7,,0.0306,,0.2142,,,,1k resistor,2,0.0288,,0.0576
R16,603,1,1200k,C137774,,C137774,1.2M resistor,1,,0.0198,,0.0198,,,,1.8k resistor,2,0.0162,,0.0324
R19,805,1,10,C17415,,C17415,10 resistor,1,,0.027,,0.027,,,,20k resistor,1,0.0306,,0.0306
R21,805,1,1k,C17513,,C17513,1k resistor,1,,0.0288,,0.0288,,,,3k resistor,1,0.0306,,0.0306
"R22, R28",603,2,1.8k,C4177,,C4177,1.8k resistor,2,,0.0162,,0.0324,,,,240 resistor,1,0.0342,,0.0342
R23,805,1,20k,C4328,,C4328,20k resistor,1,,0.0306,,0.0306,,,,390 resistor,1,0.0306,,0.0306
R24,805,1,11k,C103930,,C103930,11k resistor,1,,0.0666,,0.0666,,,,120k resistor,1,0.0162,,0.0162
R25,805,1,3k,C17661,,C17661,3k resistor,1,,0.0306,,0.0306,,,,100k resistor,1,0.0162,,0.0162
R29,805,1,240,C185292,,C185292,240 resistor,1,,0.0342,,0.0342,,,,MCP6292 op-amp,2,24.2,,48.4
R30,805,1,390,C17655,,C17655,390 resistor,1,,0.0306,,0.0306,,,,LM6134 op-amp,1,82,,82
"R4, R5",603,2,120k,C25808,,C25808,120k resistor,2,,0.0162,,0.0324,,,,Enclosure ,1,603,,603
,,,,,,,,,,0.0009,,,,,,XONAR U5 Sound card,1,1592,,1592
,,,,,,,,,,,,,,,,3.5 mm jack connectors,2,24,,48
,,,,,,,,,Unit Price,,,,,,,3.5mm audio cables,2,45,,90
,,,,,,,,,0.0026,,,,,,,5V-12V cable,1,99,,99
,,,,,,,,,0.0098,,,,,,,SPU Microphone,1,280,,280
,,,,,,,,,0.0277,,,,,,,Transmit transducer,1,99,,99
,,,,,,,,,0.0063,,,,,,,Cheeseboard,1,100,,100
,,,,,,,,,0.0084,,,,,,,Veroboard,1,20,,20
,,,,,,,,,0.0047,,,,,,,LM317T voltage regulator,1,14,,14
,,,,,,,,,0.0016,,,,,,,,,,,
,,,,,,,,,0.0017,,,,,,,,,,,
,,,,,,,,,0.0011,,,,,,,,,,,
,,,,,,,,,0.0015,,,,,,,,,,,
,,,,,,,,,0.0016,,,,,,,,,,,
,,,,,,,,,0.0009,,,,,,,,,,,
,,,,,,,,,0.0017,,,,,,,,,,,
,,,,,,,,,0.0037,,,,,,,,,,,
,,,,,,,,,0.0017,,,,,,,,,,,
,,,,,,,,,0.0019,,,,,,,,,,,
,,,,,,,,,0.0017,,,,,,,,,,,
,,,,,,,,,0.0009,,,,,,,,,,,
